SEX,MALE.STAGE,FEMALE.STAGE,CONFIRM.,filename_image,image_size,bgr_pixel_m,bgr_pixel_f,hsv_pixel_m,hsv_pixel_f,lab_pixel_m,lab_pixel_f,ycrcb_pixel_m,ycrcb_pixel_f,bgr,hsv,lab,ycrb,,BEST,bgr_perc_f_total,bgr_perc_m_total,bgr_perc_f_gonad,bgr_perc_m_gonad,bgr_perc_gonad_total,hsv_perc_f_total,hsv_perc_m_total,hsv_perc_f_gonad,hsv_perc_m_gonad,hsv_perc_gonad_total,lab_perc_f_total,lab_perc_m_total,lab_perc_f_gonad,lab_perc_m_gonad,lab_perc_gonad_total,ycrcb_perc_f_total,ycrcb_perc_m_total,ycrcb_perc_f_gonad,ycrcb_perc_m_gonad,ycrcb_perc_gonad_total,magnification
F,NA,1,X,20180924-angasi001-10x-tiled-scale.tif,17752372,196137,0,68317,10971697.5,262984,7607072,80980,7717132,Male,Female,Female,Female,,,0,1.104849538,0,100,1.104849538,61.80412116,0.38483308,99.38118741,0.618812593,62.18895424,42.85101732,1.481402035,96.65842276,3.341577239,44.33241935,43.47099081,0.456164393,98.96154351,1.038456488,43.9271552,10x
F,NA,1,X,20180924-angasi001-10x-tiled.tif,17752372,196137,0,68317,10971697.5,262984,7607072,80980,7717132,Male,Female,Female,Female,,,0,1.104849538,0,100,1.104849538,61.80412116,0.38483308,99.38118741,0.618812593,62.18895424,42.85101732,1.481402035,96.65842276,3.341577239,44.33241935,43.47099081,0.456164393,98.96154351,1.038456488,43.9271552,10x
F,NA,1,X,20180924-angasi001-10x.tif,4915200,580992.5,0,411770,105289,1068933,4317584,698307.5,4797416.5,Male,Female,Female,Female,,,0,11.82032267,0,100,11.82032267,2.142110189,8.377482096,20.36305335,79.63694665,10.51959229,87.84147135,21.74749756,80.15539541,19.84460459,109.5889689,97.60368856,14.20710246,87.29362137,12.70637863,111.810791,10x
F,NA,1,X,20180924-angasi001-20x-scale.tif,4915200,0,2829131,0,1639944.5,0,2548436,0,2463231,Female,Male,Female,Female,,,57.55881755,0,100,0,57.55881755,33.36475627,0,100,0,33.36475627,51.84806315,0,100,0,51.84806315,50.11456299,0,100,0,50.11456299,20x
F,NA,1,X,20180924-angasi001-10x-tiled2.tif,17794974,1035599,0,257330,546364,1507913,17363957.5,804374,17679569,Male,Female,Female,Female,,,0,5.819615134,0,100,5.819615134,3.07032761,1.446082473,67.98159499,32.01840501,4.516410083,97.57787508,8.473814011,92.00973216,7.990267843,106.0516891,99.35147419,4.520231387,95.64825535,4.351744647,103.8717056,10x
F,NA,1,X,20180924-angasi001-10x-tiled2scale.tif,17794974,1034502,0,257385.5,483438.5,1506157,17363957.5,803952.5,17679569,Male,Female,Female,Female,,,0,5.813450472,0,100,5.813450472,2.716713719,1.446394358,65.25686263,34.74313737,4.163108078,97.57787508,8.463946056,92.01829432,7.981705675,106.0418211,99.35147419,4.51786274,95.65043653,4.349563475,103.8693369,10x
F,NA,1,X,20180924-angasi001-10x-scale.tif,4915200,580992.5,0,411770,105289,1068934,4316072,698307.5,4797416.5,Male,Female,Female,Female,,,0,11.82032267,0,100,11.82032267,2.142110189,8.377482096,20.36305335,79.63694665,10.51959229,87.81070964,21.7475179,80.14980856,19.85019144,109.5582275,97.60368856,14.20710246,87.29362137,12.70637863,111.810791,10x
F,NA,1,X,20180924-angasi001-40x-scale.tif,307200,13918.5,20074,131444,215834,37412,51501,916.5,241840,Female,Female,Female,Female,,,6.534505208,4.530761719,59.05420313,40.94579687,11.06526693,70.25846354,42.78776042,62.15020819,37.84979181,113.046224,16.76464844,12.17838542,57.92291341,42.07708659,28.94303385,78.72395833,0.298339844,99.62246119,0.377538809,79.02229818,40x
F,NA,1,X,20180924-angasi001-40x-resorption-scale.tif,307200,27669,27058.5,140076,227491,55860,28188.5,4322.5,253853,Male,Female,Male,Female,,,8.808105469,9.006835938,49.44223654,50.55776346,17.81494141,74.0530599,45.59765625,61.89102939,38.10897061,119.6507161,9.17594401,18.18359375,33.53837368,66.46162632,27.35953776,82.6344401,1.407063802,98.32575128,1.674248718,84.04150391,40x
F,NA,1,X,20180924-angasi001-40x-resorption.tif,4915200,537191.5,594536.5,2369300.5,3642765.5,1121070,540026.5,84493,4123588.5,Female,Female,Male,Female,,,12.09587606,10.92918905,52.53351512,47.46648488,23.0250651,74.11225382,48.20354207,60.59091001,39.40908999,122.3157959,10.98686727,22.80822754,32.51024248,67.48975752,33.79509481,83.8946228,1.719014486,97.99212539,2.00787461,85.61363729,40x
F,NA,1,X,20180924-angasi001-40x.tif,4915200,335358.5,578118.5,2172937,3446303.5,938548.5,1138513,20815.5,3972108.5,Female,Female,Female,Female,,,11.76185099,6.822886149,63.28769088,36.71230912,18.58473714,70.1152242,44.20851644,61.33041467,38.66958533,114.3237406,23.16310628,19.09481812,54.81363937,45.18636063,42.2579244,80.81275431,0.423492432,99.4786903,0.521309697,81.23624674,40x
F,5,2,X,20180924-angasi003-20x-scale.tif,307200,0,50967.5,67788,303749,1642,239014,0,306081,Female,Female,Female,Female,,,16.59098307,0,100,0,16.59098307,98.8766276,22.06640625,81.75471084,18.24528916,120.9430339,77.80403646,0.534505208,99.31769829,0.682301709,78.33854167,99.63574219,0,100,0,99.63574219,20x
